Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2005,410.0064037,580.7750668,372.0121314,408.6047507,371.6573591,426.3668563,313.7403768,,309.6211167,313.6607807,419.2237709,,394.5317699,327.7557638,315.4140207,406.4587842,387.0021405,357.2377889,403.803234,405.4043692,345.0061797,367.8934653,378.4811972,443.894391,408.3245768,377.0622224,491.2063222,507.5389359,309.0739939,279.4536192,247.8759634,519.398712,367.8131229,363.0283264,495.0404584,285.3493383,492.5561066,376.8002729,384.6211598,265.0554879,368.8443864,427.2298113,371.847988,349.6762704,356.5069901,368.6029747,385.8162515,331.3417291,413.944277,395.0384704,538.7368627
2006,477.3500007,584.8734464,360.8367721,405.7912502,356.3968917,455.7506416,363.7974207,299.8501071,387.4794076,349.0738741,496.2214454,,441.4074787,340.5908208,398.3232772,430.0866977,442.6711501,390.9834643,430.862021,481.4055901,366.7166819,386.3690687,419.1531897,482.1195302,416.6487172,377.0496791,516.31384,495.2586911,329.653952,318.0118369,260.9912638,496.5534585,395.2347896,410.2028068,519.3240125,309.1763115,506.2745651,387.221345,426.0815267,296.4764013,451.8196907,481.7474857,416.00206,364.5168975,356.0433408,439.4456865,425.5171053,383.4164103,460.5124098,421.8237782,555.2661613
2007,502.2636742,587.6384334,368.3126463,424.9784982,357.7927538,471.8156887,372.235154,354.628433,373.2540672,356.939354,499.1349002,,385.3459311,328.5711815,388.7392753,412.3311654,457.8980054,393.8692559,434.591215,501.997482,370.5203659,331.7503472,419.9596489,467.710853,479.5534183,364.9492489,553.3533465,473.5436962,351.6536695,322.0633014,269.8953517,481.800147,398.0244107,386.3178017,551.4614872,311.9991729,377.1425543,385.898095,415.4322522,299.170394,430.6368676,533.304307,396.7368869,365.6101672,339.9234366,436.418354,442.5862932,369.2126671,506.2916869,425.7569294,584.813535
2008,524.9655668,649.540458,374.6838956,427.4550178,375.9740501,476.0024928,397.6912461,,421.9104302,360.0170251,475.6991103,,333.0846887,378.7180738,406.0550782,457.9537585,532.8682671,429.9320732,472.3996543,516.8545971,273.5045505,334.3853835,478.9730504,533.3343389,491.2320221,467.2526239,583.7893136,478.172349,264.1612011,304.538633,268.8128788,396.3787258,438.48626,388.863265,598.8910068,329.2332467,398.4724337,384.98787,425.7240823,322.5471465,424.0118835,556.8179007,420.3236488,386.345894,351.3377602,385.4653242,440.4875161,369.0072763,474.3050452,466.1387214,578.3153996
2009,486.5761879,693.3460412,318.8955338,442.5865211,354.744278,402.5269392,354.3477404,,379.2095756,326.0006351,472.1735963,,296.0704552,351.9035626,363.3647083,414.0429108,455.283255,318.0310505,432.8592728,445.3293421,247.8653254,365.5694724,443.9971068,448.0451682,453.6710004,324.9746345,498.7522479,446.444238,376.9011205,383.8096989,280.679731,477.050982,344.9144812,373.432262,505.7354658,272.3808118,376.4125973,325.8649289,369.7627485,290.9017695,374.2286555,492.6569433,395.3874832,363.2806677,312.1800848,373.7573623,362.1447183,318.2550455,386.1626851,387.0754785,494.6591076
2010,491.3933444,667.9598366,332.410244,467.7545828,357.4720012,408.7557436,375.9367119,,395.588252,316.0551333,494.254504,,291.9439537,346.2141601,380.4270899,447.5972538,502.8638573,296.1720007,443.2368451,443.108226,267.256569,357.8201605,442.4452819,441.8400113,447.4187122,386.9299826,533.7016612,458.0521438,387.520527,387.1755882,309.3633301,453.8276447,365.7720052,381.7837446,514.3914048,308.3259961,405.1339241,344.6415868,393.5988249,325.9548877,398.1150669,514.5370553,426.2953807,395.1537686,329.656754,403.8309805,383.1630823,327.0502154,396.6587472,385.7640421,482.3744754
2011,492.7899818,646.8040155,414.6020522,492.9911979,373.6242006,452.2794802,385.1812823,,424.7137868,324.5751495,486.0724438,,311.5180656,366.6159603,416.3748781,471.960588,505.3056296,313.5017689,471.7620371,471.5035393,396.9008735,429.3747722,439.9150473,503.5718015,479.2020057,391.8083002,502.0886351,471.0562431,389.1028553,425.2029443,326.6464493,514.0892609,379.1442182,404.9638041,554.7703699,325.9483144,431.2889308,355.5772944,426.561525,334.1722033,405.938887,526.5515772,460.9632114,438.2112851,332.9854927,459.5072949,429.0335288,354.1668129,436.7222372,426.7367393,469.4243687
2012,515.2106029,727.9308177,411.9702919,523.5830955,392.2088637,466.7305197,409.3792673,,436.7067782,334.144713,535.05953,,333.3659028,375.8301139,381.3898609,456.9292892,524.0769276,333.171293,495.4058955,482.0836376,289.321945,374.7572146,517.0290487,456.2854533,546.7821765,423.2895278,483.2301335,508.8813369,371.1743949,421.694596,267.6652517,520.4399313,392.6751285,427.4086182,579.3924966,331.7486263,447.3655886,380.7019326,454.6003251,361.0473669,423.0947457,518.2373747,443.3846618,454.2271871,319.5057336,439.4359099,445.5386665,368.8869634,479.6772021,470.3696991,521.8333692
2013,532.7670106,611.8724819,410.9806053,450.1109716,413.7707171,502.9909486,373.038495,196.0249439,435.7270429,343.4169488,492.6659285,,364.7225554,369.7813521,366.3444536,485.9851277,482.1560045,347.6966065,467.3596316,492.1730837,289.768094,351.7069983,466.9625091,369.9303531,540.4610185,419.876444,496.9206849,505.3453534,274.5236816,313.6655806,284.0937744,488.7473363,401.2640015,429.0934111,537.2569702,318.5550235,441.6926235,423.2610603,455.7349044,338.9104093,417.1468657,511.4852092,446.5509068,422.5832772,316.2514964,439.3444861,444.9079076,371.0374058,469.265847,458.2648822,548.9851999
2014,529.8809485,672.0150998,407.7173037,466.0640883,407.9093851,523.8404299,411.9669455,191.0583846,439.3560271,350.4022198,520.9816888,,443.199952,352.3423033,418.7762759,509.7563607,467.1698846,328.0992285,473.0290966,475.6301583,301.44466,337.2000165,489.1318163,410.8747347,546.5513104,423.4222362,480.8027325,526.369123,384.5090294,313.4966657,286.3148455,504.90786,401.3836589,438.8468574,480.9232913,317.9435774,451.1858244,379.8160221,454.5454332,359.5208447,414.1583272,552.5136804,435.3942365,430.082056,294.4545733,446.1277934,477.7012484,370.8616459,416.7082026,468.1908408,541.4202891
2015,563.6519803,610.2323528,442.9168056,498.2764623,402.5671733,502.4293326,408.08576,152.0556793,406.9950615,343.6311909,504.6872737,,505.0247023,351.8346178,405.3086038,438.3416455,489.6276217,348.631472,480.8534736,470.7670113,284.3347335,332.6302871,528.7851304,517.5988615,556.7579839,442.8873169,529.197249,532.7444494,451.0679853,315.2725069,263.5716919,499.7502747,399.9774698,439.3610722,472.7087448,291.1991923,449.0019721,383.0993495,413.4867009,370.9563779,410.0359057,572.3963911,429.0627773,423.803926,342.6433947,455.5537791,483.6149659,356.4562227,406.9452382,516.1698648,607.3735809
2016,548.8258669,599.3723679,324.6418177,496.033146,368.9379711,502.6115719,394.1054525,,390.8727383,324.9411002,485.3357373,,482.0925669,329.4495035,391.6279172,428.1516815,452.3120577,344.4341162,494.0137936,433.211352,274.7823769,331.2747217,512.6330275,490.4139117,507.960314,444.9037038,486.2466901,477.428032,445.7441405,296.8339276,232.9499815,471.7299477,347.9455977,419.5914245,458.2946623,273.8196009,435.1872235,445.4801211,411.731093,352.6397975,393.1146723,495.7817566,419.025023,427.0197331,264.8630839,445.4322305,464.1311963,346.112801,369.9954945,493.8941861,554.2063633
2017,545.1444469,577.7906397,396.8953239,511.8670259,376.723839,537.2064395,388.7724276,,382.3265103,329.7285238,480.6063648,,475.822275,349.938794,418.9451366,445.6258403,490.024059,354.4086028,512.8614754,417.2436868,300.2650244,318.6432113,509.5148549,458.4163003,483.4565965,425.9780035,507.500035,422.9962616,442.4629354,296.141849,229.1599803,470.6912689,363.6569803,389.1252759,506.8084089,276.8720861,434.8660775,397.001864,392.6765969,338.7796806,413.9598767,488.4923091,433.0626324,434.3222649,321.1810056,407.1287537,457.9574956,355.736432,307.9836919,501.2325686,556.5313939
2018,555.9394665,585.9443239,389.545267,513.7612958,366.9187609,531.1918928,370.9041824,,392.3941652,337.249248,489.574241,,491.7149449,346.0222263,412.2420533,462.6141952,420.1828356,352.8049442,508.2849482,431.3331523,310.2029839,354.4252215,496.5729724,472.7757819,533.8500599,375.1614389,521.2871161,417.9449154,419.7611549,320.286939,216.9308341,493.8057543,374.3071241,386.0062491,526.4765189,283.0208251,444.0997162,419.1348616,407.032144,322.4292648,398.7338142,502.6344879,432.3318338,440.6227819,282.7014268,373.811682,436.4846345,366.3345586,383.4964776,477.8457624,512.650884
2019,445.419552,545.608494,369.0009609,464.6122967,360.3089822,504.8100418,377.5725462,,414.1295617,333.175978,487.7308834,,522.2824466,358.6948193,399.8457199,450.7480308,439.001408,357.5429703,474.0295376,416.8005236,315.1233996,335.0039963,476.6550648,423.4944892,463.4137993,369.3504934,507.1362041,443.1176515,415.1553283,319.5247329,221.19912,463.5233748,364.3865524,375.7254849,506.99606,316.4863276,432.36023,402.9202655,396.1368398,337.5903323,384.6472805,459.7715139,411.6334373,435.7308606,303.1364094,388.803125,434.4893414,361.0153543,411.790138,457.4627397,576.6663993
2020,365.6847557,523.4679168,347.514523,375.2701121,306.2873318,413.2802641,314.0979322,,347.4916196,273.8448861,418.2326888,,428.3090958,285.7851871,305.1484187,357.6178931,397.8060558,308.7489626,376.7397866,388.2844052,253.037867,309.0014929,392.3708301,369.354998,388.3056646,332.4422617,382.5286519,381.1231734,343.8898256,291.4371569,177.4904606,406.6810254,307.848298,313.5287484,428.2457585,259.6152885,345.9472181,337.0094076,336.5560755,282.9155181,332.1133154,404.7519707,332.4966989,344.2333526,288.1971867,370.2784475,369.1146651,313.7387869,323.3267783,380.8660809,451.3207406
2021,430.7778325,511.9504508,375.4176839,406.3093077,330.292389,410.587038,308.4765364,99.65648855,356.9024759,273.5815116,404.3186763,,431.0263658,303.5591069,337.9328955,345.8869909,363.8517322,316.1452442,404.4028072,391.8781937,268.5981026,352.234841,407.2432298,387.3231671,393.7338044,334.7478351,433.1603563,412.6098903,364.0159936,302.390342,172.9161803,408.6738555,325.8528365,318.3068186,439.769435,270.8697858,369.3160513,366.1097056,329.9728695,317.2788519,322.4288793,420.6494892,342.7611559,375.3325164,297.8552697,367.0754888,391.3532267,325.6116828,342.6642666,386.3154771,435.8225612
